,GF,GA,Wins,Losses,Win_Percentage,Goal_Difference,Games_Played
"('DevNastyy', 'SweatedOrb5', 'lCLuTcH GoDz')",13,9,3,1,75.0,4,4
"('SweatedOrb5', 'lCLuTcH GoDz', 'rahzki')",13,9,3,1,75.0,4,4
"('SweatedOrb5', 'lCEx35', 'lCLuTcH GoDz')",13,9,3,1,75.0,4,4
"('Ceel Makar', 'SweatedOrb5', 'lCLuTcH GoDz')",13,9,3,1,75.0,4,4
"('DevNastyy', 'SweatedOrb5', 'rahzki')",13,9,3,1,75.0,4,4
"('DevNastyy', 'SweatedOrb5', 'lCEx35')",13,9,3,1,75.0,4,4
"('Ceel Makar', 'DevNastyy', 'SweatedOrb5')",13,9,3,1,75.0,4,4
"('SweatedOrb5', 'lCEx35', 'rahzki')",13,9,3,1,75.0,4,4
"('Ceel Makar', 'SweatedOrb5', 'rahzki')",13,9,3,1,75.0,4,4
"('Ceel Makar', 'SweatedOrb5', 'lCEx35')",13,9,3,1,75.0,4,4
"('DevNastyy', 'lCLuTcH GoDz', 'rahzki')",13,9,3,1,75.0,4,4
"('DevNastyy', 'lCEx35', 'lCLuTcH GoDz')",13,9,3,1,75.0,4,4
"('Ceel Makar', 'DevNastyy', 'lCLuTcH GoDz')",13,9,3,1,75.0,4,4
"('lCEx35', 'lCLuTcH GoDz', 'rahzki')",13,9,3,1,75.0,4,4
"('Ceel Makar', 'lCLuTcH GoDz', 'rahzki')",13,9,3,1,75.0,4,4
"('Ceel Makar', 'lCEx35', 'lCLuTcH GoDz')",13,9,3,1,75.0,4,4
"('DevNastyy', 'lCEx35', 'rahzki')",13,9,3,1,75.0,4,4
"('Ceel Makar', 'DevNastyy', 'rahzki')",13,9,3,1,75.0,4,4
"('Ceel Makar', 'DevNastyy', 'lCEx35')",13,9,3,1,75.0,4,4
"('Ceel Makar', 'lCEx35', 'rahzki')",13,9,3,1,75.0,4,4
